id,title,department,location,type,salary,posted,description,apply_link
1,AI Solutions Architect,AI & Engineering,Remote,Full-time,120000 EUR,2025-01-12,"Design and deploy AI architectures for enterprise clients. Work with NLP, LLMs, vector search, MLOps, and model integration.",https://example.com/apply/1
2,Machine Learning Engineer,AI & Engineering,Remote,Full-time,110000 EUR,2025-01-05,"Build ML pipelines, optimize model performance, and productionize AI solutions using Python, TensorFlow, PyTorch, and cloud services.",https://example.com/apply/2
3,Data Scientist,Data & Analytics,Remote,Full-time,100000 EUR,2025-01-09,"Analyze structured and unstructured data, build predictive models, and create insights dashboards to support business decisions.",https://example.com/apply/3
4,AI Prompt Engineer,Product,Remote,Contract,60000 EUR,2025-01-15,"Develop and optimize prompts for LLM-based applications. Work closely with research and product teams to improve system outputs.",https://example.com/apply/4
5,LLM Application Developer,AI Engineering,Remote,Full-time,105000 EUR,2025-01-18,"Develop AI-powered applications integrating LLMs, embeddings, and vector databases. Experience with React/Node preferred.",https://example.com/apply/5
6,MLOps Engineer,AI Infrastructure,Remote,Full-time,115000 EUR,2025-01-03,"Build high-reliability ML pipelines, automate deployments, manage feature stores, and implement model monitoring & CI/CD.",https://example.com/apply/6
7,AI Research Engineer,Research,Remote,Full-time,130000 EUR,2025-01-20,"Work on frontier AI research topics like model alignment, fine-tuning, evaluation, and architecture improvements.",https://example.com/apply/7
8,Vector Database Engineer,AI Platform,Remote,Full-time,118000 EUR,2025-01-10,"Optimize indexing, vector search performance, and retrieval pipelines. Experience with Pinecone, Weaviate, or Qdrant preferred.",https://example.com/apply/8
9,AI Product Manager,Product,Remote,Full-time,95000 EUR,2025-01-08,"Own AI product vision, roadmap, and delivery. Work with engineering and research teams to launch LLM-powered features.",https://example.com/apply/9
10,GenAI Solutions Consultant,Solutions,Remote,Full-time,90000 EUR,2025-01-17,"Work with enterprise customers to design GenAI solutions using LLMs, knowledge graphs, and automation workflows.",https://example.com/apply/10
